,State,Rate,Verbal,Math
0,CT,82,509,510
1,NJ,81,499,513
2,MA,79,511,515
3,NY,77,495,505
4,NH,72,520,516
5,RI,71,501,499
6,PA,71,500,499
7,VT,69,511,506
8,ME,69,506,500
9,VA,68,510,501
10,DE,67,501,499
11,MD,65,508,510
12,NC,65,493,499
13,GA,63,491,489
14,IN,60,499,501
15,SC,57,486,488
16,DC,56,482,474
17,OR,55,526,526
18,FL,54,498,499
19,WA,53,527,527
20,TX,53,493,499
21,HI,52,485,515
22,AK,51,514,510
23,CA,51,498,517
24,AZ,34,523,525
25,NV,33,509,515
26,CO,31,539,542
27,OH,26,534,439
28,MT,23,539,539
29,WV,18,527,512
30,ID,17,543,542
31,TN,13,562,553
32,NM,13,551,542
33,IL,12,576,589
34,KY,12,550,550
35,WY,11,547,545
36,MI,11,561,572
37,MN,9,580,589
38,KS,9,577,580
39,AL,9,559,554
40,NE,8,562,568
41,OK,8,567,561
42,MO,8,577,577
43,LA,7,564,562
44,WI,6,584,596
45,AR,6,562,550
46,UT,5,575,570
47,IA,5,593,603
48,SD,4,577,582
49,ND,4,592,599
50,MS,4,566,551
